frame.number,frame.time_epoch,frame.len,_ws.col.protocol,ipv6.src,ipv6.dst,wpan.fcf,wpan.seq_no,wpan.dst_pan,wpan.src64,wpan.dst64,6lowpan.src,6lowpan.dst,6lowpan.iphc.tf,6lowpan.iphc.nh,6lowpan.iphc.hlim,6lowpan.iphc.sam,6lowpan.iphc.dam
"88","1774872395.638333000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","104","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"89","1774872396.640583000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","105","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"90","1774872397.639185000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","106","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"91","1774872398.642045000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","107","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"92","1774872399.642645000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","108","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"93","1774872400.644484000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","109","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"94","1774872401.644110000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","110","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"95","1774872402.644669000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","111","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"96","1774872403.646530000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","112","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"97","1774872404.646151000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","113","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"98","1774872405.648028000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","114","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"99","1774872406.650317000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","115","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"100","1774872407.649020000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","116","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
"101","1774872408.649756000","86","ICMPv6, HiPerConTracer","fe80::d8b2:4c9b:f624:ed2e","ff02::1","0xc841","117","0xbeef","da:b2:4c:9b:f6:24:ed:2e",,"fe80::d8b2:4c9b:f624:ed2e","ff02::1","0x0001","False","0x0001","0x0003","0x0003"
